timestamp_ms,speed_mm_per_s,smoothed_speed_mm_per_s
1630002067620,1374.59,1461.24
1630002067637,1514.05,1461.24
1630002067654,1335.15,1461.24
1630002067670,1748.93,1472.62
1630002067687,1408.60,1455.96
1630002067704,1538.45,1468.11
1630002067720,1421.84,1468.11
1630002067737,1553.74,1471.07
1630002067754,1422.27,1468.16
1630002067770,1674.64,1468.16
1630002067787,1339.63,1468.16
1630002067804,1547.77,1480.36
1630002067820,1435.25,1486.85
1630002067837,1540.31,1486.85
1630002067854,1423.25,1486.85
1630002067870,1607.95,1487.78
1630002067887,1398.78,1487.78
1630002067904,1530.03,1482.64
1630002067920,1481.00,1505.52
1630002067937,1478.22,1479.61
1630002067954,1343.82,1479.61
1630002067970,1654.84,1479.61
1630002067987,1320.30,1479.61
1630002068004,1511.01,1479.61
1630002068020,1412.83,1479.61
1630002068037,1468.68,1473.45
1630002068054,1421.88,1473.45
1630002068070,1645.43,1473.45
1630002068087,1327.20,1445.28
1630002068104,1498.27,1445.28
1630002068120,1470.29,1469.49
1630002068154,854.94,1445.28
1630002068170,1582.73,1469.49
1630002068187,1362.54,1445.28
1630002068204,1603.55,1469.49
1630002068220,1449.91,1460.10
1630002068237,1499.16,1484.28
1630002068254,1430.93,1460.10
1630002068270,1618.16,1484.28
1630002068287,1274.60,1460.10
1630002068304,1579.05,1474.54
1630002068320,1511.27,1505.21
1630002068337,1406.84,1474.54
1630002068354,1320.48,1474.54
1630002068371,1500.14,1474.54
1630002068387,1537.34,1499.65
1630002068404,1524.68,1505.70
1630002068420,1390.74,1505.70
1630002068437,1451.71,1475.93
1630002068454,1405.58,1475.93
1630002068470,1550.85,1475.93
1630002068487,1333.34,1429.28
1630002068504,1388.42,1428.65
1630002068520,1523.46,1475.93
1630002068537,1481.31,1466.51
1630002068554,1478.99,1465.35
1630002068570,1512.06,1465.35
1630002068587,1280.47,1465.35
1630002068604,1446.85,1462.92
1630002068620,1372.94,1462.92
1630002068637,1515.32,1462.92
1630002068654,1395.05,1462.92
1630002068670,1593.29,1480.15
1630002068687,1483.74,1480.15
1630002068704,1374.49,1462.92
1630002068720,1465.56,1456.21
1630002068737,1395.04,1420.95
1630002068754,1351.99,1420.95
1630002068770,1555.60,1430.30
1630002068787,1398.76,1432.16
1630002068804,1514.39,1432.16
1630002068820,1377.38,1432.16
1630002068837,1461.71,1430.24
1630002068854,1371.20,1396.90
1630002068870,1507.69,1430.24
1630002068887,1428.15,1413.46
1630002068904,1512.42,1444.93
1630002068920,1548.96,1484.70
1630002068937,1451.99,1456.85
1630002068954,1391.31,1456.85
1630002068970,1481.62,1456.85
1630002068987,1347.03,1456.85
1630002069004,1466.00,1459.00
1630002069020,1488.15,1473.81
1630002069037,1441.17,1459.00
1630002069054,1426.27,1459.00
1630002069070,1638.23,1459.00
1630002069087,1493.94,1459.00
1630002069104,1433.77,1453.59
1630002069120,1433.07,1453.59
1630002069137,1456.96,1449.07
1630002069154,1368.50,1449.07
1630002069170,1578.81,1449.07
1630002069187,1403.26,1437.47
1630002069204,1539.14,1445.37
1630002069221,1355.85,1445.37
1630002069237,1556.48,1445.37
1630002069254,1461.66,1445.37
1630002069271,1407.78,1445.02
1630002069287,1444.42,1450.69
1630002069304,1390.98,1426.10
1630002069321,1542.34,1453.04
1630002069337,1571.34,1453.04
1630002069354,1505.50,1483.58
1630002069370,1485.89,1473.78
1630002069387,1522.18,1495.70
1630002069404,1507.72,1495.70
1630002069420,1393.29,1495.70
1630002069437,1485.58,1495.70
1630002069454,1493.27,1499.39
1630002069471,1479.97,1499.39
1630002069487,1570.86,1499.39
1630002069504,1395.59,1489.58
1630002069521,1467.65,1485.74
1630002069537,1429.99,1482.77
1630002069554,1629.65,1482.77
1630002069570,1456.61,1473.81
1630002069587,1464.92,1473.81
1630002069604,1444.68,1466.28
